,Cheerios,Kashi,Kellogg's,Other,Post,Time
"(cold_cereal, top3)",1,0,0,2,0,2015-11-22 10:33:35
"(cold_cereal, all)",30,30,77,497,26,2015-11-22 10:33:35
"(cereal, top3)",1,0,1,0,1,2015-11-22 10:33:35
"(cereal, all)",33,37,96,804,30,2015-11-22 10:33:35
"(cold_cereal, top3)",1,0,0,2,0,2015-11-22 10:52:54
"(cold_cereal, all)",30,30,77,497,26,2015-11-22 10:52:54
"(cereal, top3)",1,0,1,0,1,2015-11-22 10:52:54
"(cereal, all)",33,37,96,804,30,2015-11-22 10:52:54
"(cold_cereal, top3)",1,0,0,2,0,2015-11-22 11:23:25
"(cold_cereal, all)",30,29,77,498,26,2015-11-22 11:23:25
"(cereal, top3)",1,0,1,0,1,2015-11-22 11:23:25
"(cereal, all)",33,37,96,804,30,2015-11-22 11:23:25
"(cold_cereal, top3)",1,0,0,2,0,2015-11-23 09:36:36
"(cold_cereal, all)",29,26,73,486,26,2015-11-23 09:36:36
"(cereal, top3)",1,0,1,0,1,2015-11-23 09:36:36
"(cereal, all)",33,37,96,804,30,2015-11-23 09:36:36
"(cold_cereal, top3)",1,0,0,2,0,2015-11-23 13:30:16
"(cold_cereal, all)",30,29,77,498,26,2015-11-23 13:30:16
"(cereal, top3)",1,0,1,0,1,2015-11-23 13:30:16
"(cereal, all)",33,37,95,805,30,2015-11-23 13:30:16
"(cold_cereal, top3)",1,0,0,2,0,2015-11-23 20:45:44
"(cold_cereal, all)",30,29,77,498,26,2015-11-23 20:45:44
"(cereal, top3)",1,0,1,0,1,2015-11-23 20:45:44
"(cereal, all)",33,37,95,805,30,2015-11-23 20:45:44
